Code,Occupation,Proximity_Rating,Exposure_Rating
19-4051.02,Nuclear Monitoring Technicians,70,9
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",66,9
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,62,9
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",60,9
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",58,9
27-3022.00,Reporters and Correspondents,55,9
47-2082.00,Tapers,55,9
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,53,9
41-3099.01,Energy Brokers,52,9
25-1123.00,"English Language and Literature Teachers, Postsecondary",50,9
17-1022.00,Surveyors,48,9
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,47,9
25-1067.00,"Sociology Teachers, Postsecondary",46,9
25-1032.00,"Engineering Teachers, Postsecondary",33,9
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",29,9
53-5022.00,Motorboat Operators,79,8
39-3092.00,Costume Attendants,76,8
25-3021.00,Self-Enrichment Education Teachers,76,8
35-3022.01,Baristas,75,8
47-2072.00,Pile-Driver Operators,73,8
49-9097.00,Signal and Track Switch Repairers,73,8
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",70,8
51-4071.00,Foundry Mold and Coremakers,69,8
51-8091.00,Chemical Plant and System Operators,64,8
15-1151.00,Computer User Support Specialists,64,8
47-4091.00,Segmental Pavers,63,8
53-6051.08,Freight and Cargo Inspectors,59,8
19-4031.00,Chemical Technicians,58,8
13-1081.00,Logisticians,58,8
17-3029.09,Manufacturing Production Technicians,57,8
43-5052.00,Postal Service Mail Carriers,57,8
49-3023.01,Automotive Master Mechanics,53,8
19-1020.01,Biologists,51,8
33-9021.00,Private Detectives and Investigators,51,8
11-3051.06,Hydroelectric Production Managers,50,8
13-2071.00,Credit Counselors,48,8
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",48,8
43-3011.00,Bill and Account Collectors,45,8
47-5021.00,"Earth Drillers, Except Oil and Gas",42,8
43-6011.00,Executive Secretaries and Executive Administrative Assistants,39,8
25-1125.00,"History Teachers, Postsecondary",36,8
45-2041.00,"Graders and Sorters, Agricultural Products",84,7
53-2021.00,Air Traffic Controllers,82,7
27-2042.02,"Musicians, Instrumental",82,7
25-3099.02,Tutors,81,7
47-5012.00,"Rotary Drill Operators, Oil and Gas",80,7
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",74,7
49-9011.00,Mechanical Door Repairers,73,7
27-4014.00,Sound Engineering Technicians,69,7
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",67,7
47-2053.00,Terrazzo Workers and Finishers,67,7
35-2015.00,"Cooks, Short Order",66,7
39-6012.00,Concierges,65,7
51-2023.00,Electromechanical Equipment Assemblers,59,7
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",58,7
17-2141.00,Mechanical Engineers,58,7
51-4052.00,"Pourers and Casters, Metal",57,7
19-3093.00,Historians,56,7
51-3011.00,Bakers,55,7
17-3023.01,Electronics Engineering Technicians,54,7
27-1025.00,Interior Designers,53,7
13-1081.02,Logistics Analysts,51,7
49-9099.01,Geothermal Technicians,50,7
27-3043.04,Copy Writers,49,7
17-3029.04,Electronics Engineering Technologists,49,7
53-7111.00,Mine Shuttle Car Operators,49,7
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",48,7
49-9063.00,Musical Instrument Repairers and Tuners,48,7
17-2111.03,Product Safety Engineers,47,7
41-3031.02,"Sales Agents, Financial Services",47,7
11-3131.00,Training and Development Managers,46,7
43-9111.00,Statistical Assistants,45,7
25-1054.00,"Physics Teachers, Postsecondary",44,7
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,43,7
13-2099.02,Risk Management Specialists,43,7
43-9011.00,Computer Operators,42,7
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,42,7
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",40,7
13-2071.01,Loan Counselors,40,7
19-3041.00,Sociologists,40,7
